행정동코드,자치구,행정동,사회적_고립도,1인가구_지수
11010530,종로구,사직동,48,32
11010540,종로구,삼청동,38,43
11010550,종로구,부암동,27,35
11010560,종로구,평창동,16,17
11010570,종로구,무악동,61,33
11010580,종로구,교남동,64,43
11010600,종로구,가회동,54,47
11010610,종로구,종로1·2·3·4가동,18,72
11010630,종로구,종로5·6가동,47,67
11010640,종로구,이화동,69,65
11010670,종로구,창신1동,63,69
11010680,종로구,창신2동,83,52
11010690,종로구,창신3동,71,36
11010700,종로구,숭인1동,80,55
11010710,종로구,숭인2동,66,65
11010720,종로구,청운효자동,36,27
11010730,종로구,혜화동,54,24
11020520,중구,소공동,46,52
11020540,중구,회현동,26,47
11020550,중구,명동,33,48
11020570,중구,필동,0,60
11020580,중구,장충동,34,47
11020590,중구,광희동,14,63
11020600,중구,을지로동,23,100
11020650,중구,신당5동,74,33
11020670,중구,황학동,51,44
11020680,중구,중림동,72,38
11020690,중구,신당동,17,65
11020700,중구,다산동,72,28
11020710,중구,약수동,66,43
11020720,중구,청구동,73,46
11020730,중구,동화동,70,24
11030510,용산구,후암동,62,35
11030520,용산구,용산2가동,73,31
11030530,용산구,남영동,72,78
11030570,용산구,원효로2동,52,30
11030580,용산구,효창동,58,23
11030590,용산구,용문동,73,30
11030630,용산구,이촌1동,43,23
11030640,용산구,이촌2동,47,27
11030650,용산구,이태원1동,34,47
11030660,용산구,이태원2동,36,40
11030690,용산구,서빙고동,50,34
11030700,용산구,보광동,43,50
11030710,용산구,청파동,79,39
11030720,용산구,원효로1동,49,27
11030730,용산구,한강로동,33,25
11030740,용산구,한남동,13,34
11040520,성동구,왕십리2동,72,30
11040540,성동구,마장동,61,29
11040550,성동구,사근동,57,28
11040560,성동구,행당1동,69,35
11040570,성동구,행당2동,79,35
11040580,성동구,응봉동,57,19
11040590,성동구,금호1가동,74,35
11040620,성동구,금호4가동,71,33
11040650,성동구,성수1가1동,25,34
11040660,성동구,성수1가2동,59,26
11040670,성동구,성수2가1동,69,39
11040680,성동구,성수2가3동,60,30
11040690,성동구,송정동,79,48
11040700,성동구,용답동,77,42
11040710,성동구,왕십리도선동,63,27
11040720,성동구,금호2·3가동,71,29
11040730,성동구,옥수동,57,24
11050530,광진구,화양동,57,39
11050540,광진구,군자동,71,35
11050550,광진구,중곡1동,66,33
11050560,광진구,중곡2동,63,34
11050570,광진구,중곡3동,62,45
